pl_name,pl_letter,hd_name,gaia_id,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,pul_flag
GJ 96 b,b,,Gaia DR2 354077348697687424,1.0,1.0,0.0,Radial Velocity,2018.0,Ground,Haute-Provence Observatory,1.93 m Telescope,
GJ 9689 b,b,,Gaia DR2 1803475188714186368,1.0,1.0,0.0,Radial Velocity,2020.0,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,
GJ 9714 b,b,HD 199981,Gaia DR2 6781117812601143168,1.0,1.0,0.0,Radial Velocity,2022.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 9827 b,b,,Gaia DR2 2643842302456085888,1.0,3.0,0.0,Transit,2017.0,Space,K2,0.95 m Kepler Telescope,
GJ 9827 c,c,,Gaia DR2 2643842302456085888,1.0,3.0,0.0,Transit,2017.0,Space,K2,0.95 m Kepler Telescope,
GJ 9827 d,d,,Gaia DR2 2643842302456085888,1.0,3.0,0.0,Transit,2017.0,Space,K2,0.95 m Kepler Telescope,
GPX-1 b,b,,Gaia DR2 457317534880081152,1.0,1.0,0.0,Transit,2021.0,Ground,Acton Sky Portal Observatory,279mm RASA-11 wide-field telescope,
GQ Lup b,b,,Gaia DR2 6011522757643074304,1.0,1.0,0.0,Imaging,2004.0,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,
GSC 06214-00210 b,b,,Gaia DR2 6244440552088537600,1.0,1.0,0.0,Imaging,2010.0,Ground,Palomar Observatory,5.1 m Hale Telescope,
GU Psc b,b,,Gaia DR2 2784120641627589760,1.0,1.0,0.0,Imaging,2014.0,Ground,Gemini Observatory,8.19 m Gemini South Telescope,
Gaia-1 b,b,,Gaia-1,1.0,1.0,0.0,Transit,2022.0,Space,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,
Gaia-2 b,b,,Gaia-2,1.0,1.0,0.0,Transit,2022.0,Space,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,
Gl 378 b,b,,Gaia DR2 823228721066990720,1.0,1.0,0.0,Radial Velocity,2019.0,Ground,Haute-Provence Observatory,1.93 m Telescope,
Gl 49 b,b,,Gaia DR2 522863309964987520,2.0,1.0,0.0,Radial Velocity,2019.0,Ground,Multiple Observatories,Multiple Telescopes,
Gl 686 b,b,,Gaia DR2 4550763526539955712,1.0,1.0,0.0,Radial Velocity,2018.0,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,
HAT-P-1 b,b,,Gaia DR2 1928431764627661440,2.0,1.0,0.0,Transit,2006.0,Ground,HATNet,Canon 200mm f/1.8L,
HAT-P-11 b,b,,Gaia DR2 2086512227851023872,1.0,2.0,0.0,Transit,2008.0,Ground,HATNet,Canon 200mm f/1.8L,
HAT-P-11 c,c,,Gaia DR2 2086512227851023872,1.0,2.0,0.0,Radial Velocity,2018.0,Ground,W. M. Keck Observatory,10 m Keck I Telescope,
HAT-P-12 b,b,,Gaia DR2 1499514786891168640,1.0,1.0,0.0,Transit,2009.0,Ground,HATNet,Canon 200mm f/1.8L,
HAT-P-13 b,b,,Gaia DR2 1014520826353577088,1.0,2.0,0.0,Transit,2009.0,Ground,HATNet,Canon 200mm f/1.8L,
HAT-P-13 c,c,,Gaia DR2 1014520826353577088,1.0,2.0,0.0,Radial Velocity,2009.0,Ground,W. M. Keck Observatory,10 m Keck I Telescope,
HAT-P-14 b,b,,Gaia DR2 1340497608486742400,2.0,1.0,0.0,Transit,2010.0,Ground,HATNet,Canon 200mm f/1.8L,
HAT-P-15 b,b,,Gaia DR2 179498266829041664,1.0,1.0,0.0,Transit,2010.0,Ground,HATNet,Canon 200mm f/1.8L,
HAT-P-16 b,b,,Gaia DR2 381592313648387200,3.0,1.0,0.0,Transit,2010.0,Ground,HATNet,Canon 200mm f/1.8L,
HAT-P-17 b,b,,Gaia DR2 1849786481031300608,1.0,2.0,0.0,Transit,2010.0,Ground,HATNet,Canon 200mm f/1.8L,
